1,3183,62
1,2608,43
1,3890,149
1,4387,51
1,2432,81
1,3974,68
2,341,2
2,475,2
2,362,2
2,342,2
2,1257,4
2,355,23
2,668,9
2,224,27
2,446,10
2,224,8
3,1840,1
3,295,11
3,1977,25
3,1343,44
3,708,30
3,1598,10
3,1560,10
3,589,129
3,1838,12
3,1500,14
4,147,1
4,195,0
4,1038,0
4,830,7
4,851,0
4,183,8
4,357,8
4,530,6
4,659,7
4,727,11
5,1278,0
5,1982,8
5,1071,6
5,1030,2
5,882,31
5,1534,17
5,991,12
5,2253,8
5,1501,110
5,1639,20
6,990,0
6,1045,0
6,649,6
6,977,1
6,655,6
6,740,3
6,701,1
6,721,6
6,582,0
6,945,3
7,728,0
7,1455,1
7,580,2
7,804,2
7,711,7
7,1078,3
7,527,6
7,622,3
7,1113,1
7,1532,7
8,372,0
8,242,2
8,1234,0
8,410,0
8,674,0
8,308,1
8,443,0
8,649,1
8,728,0
8,907,0
8,405,2
8,425,0
8,445,0
8,386,0
8,215,0
8,294,0
8,308,1
8,558,0
8,305,0
8,327,2
8,453,0
8,440,0
8,580,0
8,627,0
8,392,0
8,374,1
8,217,2
8,161,0
8,421,0
8,534,0
9,513,0
9,1030,14
9,793,52
9,742,31
9,769,22
10,1321,18
10,776,30
10,1140,47
10,3656,24
10,1069,34
10,3503,50
10,791,44
10,2097,26
10,1220,32
10,959,22
11,319,0
11,2579,0
11,216,0
11,113,0
11,74,0
11,1015,8
11,115,1
11,1283,5
11,2013,6
11,260,1
12,453,5
12,1423,16
12,873,60
12,252,80
12,1661,13
12,321,6
12,360,46
12,1594,7
12,600,30
12,1266,15
13,844,0
13,441,1
13,645,10
13,2138,6
13,948,0
13,758,5
13,1105,5
13,651,10
13,1176,6
13,1447,12
13,675,19
13,634,2
13,867,8
13,1112,6
13,1053,12
13,946,3
13,812,30
13,1766,7
13,972,6
13,972,9
14,162,0
14,406,0
14,525,0
14,776,0
14,612,0
14,895,0
14,831,0
14,428,0
14,710,0
14,1337,20
15,578,4
15,271,1
15,963,3
15,1115,11
15,1781,15
15,331,15
15,888,10
15,500,5
15,821,49
15,423,11
15,1654,37
15,1149,23
15,672,30
15,933,45
15,489,15
15,306,21
15,231,3
15,895,28
15,137,9
15,1052,22
16,2040,5
16,1532,2
16,1167,4
16,1469,1
16,1044,2
16,2119,5
16,1460,10
16,1409,12
16,1141,30
16,1702,14
17,1096,2
17,1584,5
17,700,3
17,2063,36
17,692,319
17,991,51
17,1603,81
17,309,81
17,137,32
17,733,11
18,277,0
18,593,14
18,405,17
18,1577,18
18,988,39
18,631,27
18,701,30
18,1212,42
18,839,48
18,1189,46
18,2146,93
18,370,119
18,996,64
18,887,62
18,846,37
18,372,33
18,1025,26
18,993,44
18,1194,21
18,2283,55
19,435,1
19,698,0
19,734,1
19,879,0
19,737,0
19,538,7
19,316,1
19,238,2
19,834,1
19,272,1
19,879,4
19,595,2
19,611,0
19,700,0
19,1198,5
19,648,3
19,349,0
19,355,0
19,755,5
19,790,16
19,531,4
19,209,0
19,713,2
19,837,2
19,718,1
20,1490,85
20,2121,199
20,2288,71
20,2955,138
20,2378,134
20,1329,70
20,1583,56
20,2090,69
20,1667,113
20,2328,107
21,1419,3
21,1410,27
21,1109,5
21,103,0
21,2511,22
21,1397,9
21,1721,26
21,2950,35
21,610,28
21,978,1
22,638,1
22,1203,2
22,1473,11
22,1729,6
22,1254,5
22,671,3
22,1080,8
22,1548,6
22,1147,10
22,1070,4
23,838,0
23,1787,1
23,257,0
23,100,3
23,457,0
24,692,0
24,1099,0
24,914,0
24,176,10
24,681,3
24,2244,0
24,777,0
24,695,0
24,607,12
24,2078,0
25,696,0
25,1583,1
25,932,10
25,1715,3
25,852,3
25,1266,4
25,918,6
25,1213,4
25,1250,3
25,762,0
26,1607,45
26,666,2
26,1691,12
26,530,3
26,803,10
26,3512,35
26,1235,1
26,896,0
26,2177,18
26,1040,0
27,1242,28
27,1526,13
27,9944,31
27,987,20
27,1066,16
27,978,52
27,791,50
27,1821,10
27,904,34
27,1780,12
28,487,0
28,312,0
28,708,0
28,265,0
28,157,0
28,256,0
28,305,0
28,295,1
28,307,2
28,183,0
29,845,24
29,1080,66
29,1067,34
29,825,32
29,671,26
29,620,58
29,842,40
29,603,69
29,964,55
29,832,63
29,799,46
29,663,9
29,746,69
29,914,40
29,985,113
29,795,41
29,1132,55
29,1006,32
29,637,20
29,4381,58
29,1545,61
29,831,115
29,1856,48
29,1534,59
29,584,19
29,1441,106
29,845,106
29,3810,80
29,870,65
29,538,9
29,1949,77
29,1122,39
29,1002,36
29,990,76
29,807,11
29,2484,66
29,1136,35
29,82,27
29,939,32
29,496,30
29,861,63
29,863,37
29,733,8
29,1829,135
29,1259,39
29,211,38
29,336,47
29,562,8
29,958,59
29,646,64
30,907,4
30,173,6
30,1006,6
30,538,3
30,1496,6
30,146,11
30,797,14
30,963,34
30,202,13
30,925,8
31,3932,0
31,1570,80
31,2351,73
31,1555,172
31,6568,110
31,5551,88
31,726,87
31,1550,72
31,1293,107
31,360,105
32,1155,12
32,102,2
32,2698,20
32,571,8
32,6118,10
32,1649,8
32,1958,7
32,2480,25
32,3974,73
32,3085,45
33,848,0
33,1241,3
33,314,0
33,1157,3
33,1180,20
33,1098,1
33,267,0
33,954,0
33,1084,4
33,377,0
34,470,1
34,571,2
34,433,2
34,599,8
34,428,6
34,1157,0
34,515,1
34,985,7
34,444,3
34,677,4
35,1346,0
35,1299,9
35,1184,16
35,102,55
35,3103,16
35,2081,40
35,185,2
35,3362,11
35,2557,50
35,788,3
36,183,1
36,233,7
36,148,0
36,176,2
36,161,2
36,180,2
36,195,4
36,255,8
36,177,2
36,147,0
37,306,0
37,696,0
37,20,0
37,156,1
37,1576,7
37,1225,2
37,168,0
37,165,0
37,698,1
37,1896,4
38,29,0
38,28,0
38,28,0
38,22,0
38,37,0
38,49,0
38,319,0
38,303,0
38,314,2
38,46,0
39,270,0
39,519,0
39,337,0
39,242,0
39,267,0
39,1313,0
39,989,0
39,516,0
39,245,0
39,482,1
40,855,7
40,578,0
40,631,2
40,882,2
40,587,55
40,339,1
40,811,20
40,860,1
40,358,2
40,562,0
41,376,1
41,248,9
41,1169,6
41,781,23
41,532,14
42,1407,0
42,294,11
42,1321,8
43,926,37
43,417,39
43,2220,43
43,1691,39
43,1092,10
43,2520,40
43,893,39
43,2019,51
43,1608,73
43,2445,68
44,552,47
44,934,54
44,1007,53
44,319,47
44,450,177
44,351,83
44,430,39
44,848,95
44,283,97
44,940,200
45,316,0
45,1121,0
45,274,1
45,270,0
45,307,0
45,835,0
45,219,0
45,303,0
45,250,0
45,822,4
45,501,0
45,230,0
45,269,0
45,323,0
45,291,0
45,282,0
45,279,0
